customer_id,segment,intervention,converted
3ebe701b-ce62-4aef-8b4c-a872f8890b21,Student,5% Discount,1
3863cbaa-c354-4615-a328-8e59a3d184e7,Student,10% Cashback,0
4e2a3aea-d36b-473e-a779-cd948499976f,Professional,None,0
d025903f-52c0-4492-a687-a7d4034f563e,Professional,10% Cashback,0
83be80d2-3a7a-4958-8774-489dbbce0685,Student,None,1
5844be18-47a5-46fc-88ab-33d9a6ee31b1,Student,None,0
b17057e2-08db-4e85-ac0a-56b8f36b2d0e,Professional,5% Discount,0
46f36f68-ba9b-426b-9668-4e5285151ab2,Student,None,1
256abe0a-bbdb-498f-9c36-40cd46fe3535,Professional,5% Discount,1
fb9c1997-2009-4078-8ba4-b68f2d65a643,Student,None,0
6844cc56-772a-47f2-bcbb-15b59fb9eb2d,Professional,None,1
aa9577bc-4687-4ecd-ba41-3244320f68b6,Professional,Free Shipping,1
72d50a46-a8ec-46dd-af4e-1533c7e3bff8,Student,10% Cashback,0
d1c57bb3-3502-4554-bce8-a86f183dfefa,Student,10% Cashback,1
f3005721-a80d-4d0d-8f34-ccf28ee4d059,Student,10% Cashback,1
957ee5c5-e544-48c6-b177-e7d211c24cae,Student,None,0
ebb45bd6-e36c-43b0-bd2a-1f4f4bf62dca,Student,10% Cashback,0
d25483a2-dc79-40c2-b31e-03eda31a506f,Professional,None,0
8edd186b-7338-417a-bde4-a7908a94eeaf,Professional,10% Cashback,0
b40e46d0-eb5f-4383-a669-3cf4a3c77b94,Student,10% Cashback,1
f2e2fdae-2f1f-4db2-b456-7cee98054622,Student,Free Shipping,0
08f08eb6-ce6a-4aa0-b03b-2c978932a732,Enterprise,10% Cashback,1
d40ef98c-62e6-4a37-abe5-756f2973d3f0,Student,None,0
7c52d293-b25b-40fa-af96-3734847b643f,Student,10% Cashback,0
e01c3069-29ac-4341-8173-0325dd1742d7,Student,None,1
0053c14a-441e-493c-9176-70ebbdf4a781,Student,None,0
421ba554-54f3-4fa2-8780-c47fe1d47d37,Student,None,1
ac390cfd-79e2-468e-97a7-76aa27674b71,Professional,10% Cashback,0
68b9baff-a56e-4b49-b4af-e9f969618768,Professional,None,1
873e91a3-eb7b-4743-bc73-6273d58ac94a,Professional,None,1
aaf9d3a0-a483-4f08-96aa-531b44562dfe,Student,Free Shipping,0
8d2c13e6-d719-480a-b657-5d93cf7e1d41,Professional,10% Cashback,1
fac4ecdf-d87e-4ced-a945-775af02657c7,Professional,None,1
a82785be-ed8e-46b0-a590-672498eac06d,Professional,None,1
8fbb3893-357a-4d24-acac-4e85728da49b,Student,10% Cashback,0
