customer_id,segment,intervention,converted
7b1d57c9-d796-43fa-bfd8-f36b9b62f0a8,Student,10% Cashback,0
ed6eaca3-4247-4402-a0b7-3a7a41642a63,Student,None,0
0cf659da-92dd-4ce9-a30b-8f73bdffafa3,Professional,10% Cashback,0
ac98f859-bb08-4802-9205-90da828cd1ba,Professional,10% Cashback,1
c8206f5a-d39b-4291-b6a9-e639ae08107d,Student,None,0
7358d328-2c00-44f1-92f2-10392d7cacb5,Student,None,0
d061eb07-1e5d-4f37-90f8-3aa41688743c,Professional,10% Cashback,1
0f1db334-4a3f-4153-88a6-97d0e98be618,Student,10% Cashback,0
abb8344e-6dfd-4583-982c-cad9717973ac,Professional,10% Cashback,0
d2eeae9d-b12c-40c2-8594-e9526672ad6b,Student,None,0
eb6ef2b6-495f-4c3e-8d88-8a8b9a2c3348,Professional,None,0
169d7e63-7e21-4a8e-a578-8c79afba26e7,Professional,10% Cashback,1
fcf5b584-7758-4427-acd6-ed90f697a5ee,Student,None,0
7ef04099-d4ed-4d9b-8ffe-dac591bc6c90,Student,None,0
e32f43de-dd24-4c26-b966-bcdafef59f54,Student,None,0
16c66cf6-e256-4d85-ae51-89a945b1fe7e,Student,10% Cashback,0
ac69927d-7c72-48e9-95b1-c5882c565ee8,Student,10% Cashback,0
c89362ae-13d2-44e1-8a30-e1a602f9f004,Professional,10% Cashback,1
803792d1-b7ac-422d-ac51-6ca375044c2c,Professional,10% Cashback,1
39c388bb-451e-44fb-8226-8aab9aa7771a,Student,None,0
aa723e24-8c4d-41a2-8b52-da98e4bd45ad,Student,None,0
0a54c086-efe2-4c0d-8bb0-8c6f32aa65fd,Enterprise,None,1
ad383f2e-3a01-4d0b-b61f-a8f0a794d37a,Student,10% Cashback,0
b1d4cbfd-a093-4a57-818c-fdace74749dd,Student,10% Cashback,0
d4556549-ef28-45e8-a738-5b12c647daf4,Student,10% Cashback,0
5da22564-e911-4420-8d53-a4b108c2ab7b,Student,None,0
b19bf465-a3ce-4ca5-968b-df43bec0f869,Student,None,0
4e5f0cb8-d54b-4210-bf17-40869bc7d934,Professional,10% Cashback,0
54318881-57e5-4cc5-800e-75289fc933c6,Professional,10% Cashback,1
e8d06a78-795d-4f04-ad82-eb89e20a2d1b,Professional,None,1
c60e14c6-7b0d-4b72-a7e5-49ad3bf7a1da,Student,None,0
eab7cf9b-f01e-4de3-a71b-26c7e5043804,Professional,None,1
29f50ada-0c4b-487a-b2c5-6b6455a8de1f,Professional,10% Cashback,1
023d0e52-ce66-4b5b-9c26-3c2dc98919ec,Professional,10% Cashback,1
bc98304b-7111-4af4-b612-fe41d57b2167,Student,10% Cashback,1
1ff1c633-b23f-49b8-ad2f-692b8ba49c80,Professional,None,1
93111e2d-df73-43a4-ae1a-c552fdcfccca,Student,None,0
2ee7a075-a2bd-450e-aea9-15ad8d025c4c,Professional,10% Cashback,0
2c1ac222-c170-4dc7-8d71-5c9891115ccc,Professional,10% Cashback,0
13706cf8-84b6-480d-95e1-8ea9df3ebcb0,Student,10% Cashback,0
a31637cb-6e5f-4ac8-9488-42b300f66ca4,Student,10% Cashback,0
2e9c0368-1f74-4083-8f7c-cdcef9695549,Student,None,0
4281d028-018f-42da-91db-553faec3b3bc,Professional,None,0
f38826a7-96ee-4994-8baa-336b7b358ce2,Student,None,0
2118d438-97bd-4a83-81bf-f5a42a160087,Professional,None,1
de86480b-8ebc-44be-b485-5db430659a74,Professional,None,0
e7828ace-c83f-4d0f-8c3b-7d17939050b7,Professional,10% Cashback,0
de7e821d-5f06-432a-9844-9c215ca964c9,Professional,None,1
21ab084d-ad10-4644-9452-4f7dc0936a71,Professional,10% Cashback,1
afca5b87-a214-487c-9b7d-bdea731c8f1c,Professional,None,0
8517d9a0-a982-470c-b0b6-d75fb1c7cdd5,Student,None,0
82105b45-4f2b-4ee7-9c25-5544c3b3dc03,Student,10% Cashback,1
6becee8c-d8b8-4afd-b715-ef515e0fa49e,Professional,10% Cashback,1
099807d7-2a33-4650-982b-44d882cdcc20,Professional,10% Cashback,0
f50a4935-1019-49c5-a2f2-edb1971e4760,Student,10% Cashback,1
47a718b1-1c82-4e54-90e9-c933cfb336cb,Professional,10% Cashback,0
ceb4b450-61aa-4a85-8776-dc4dc05beb80,Student,None,0
8b9478aa-9ca7-48e8-88fe-49012a1a10ee,Student,10% Cashback,0
a7d4fca9-ece6-4314-847b-22445d0797eb,Professional,None,0
9f9385f4-6ff2-410e-b561-4b0034364d96,Professional,None,1
a21672f4-18c0-4e35-8e7a-16ceb0fca5ad,Student,None,0
009b88f7-6e5e-4faf-a5a3-d0806f162de9,Professional,None,1
8b7006bf-3cef-4462-a4f2-94564e3bba15,Professional,10% Cashback,0
9b14170a-5a91-4129-81a9-7c54043eee4e,Professional,None,1
f461a1ae-143e-414e-b650-4d0ac535fd44,Student,None,0
67ba2718-ad19-4fa6-954f-6df879da3b5e,Student,10% Cashback,0
7210d7a5-ddf1-4c7e-bbea-136a8fda80ae,Professional,10% Cashback,1
ff2aad19-b00a-4836-970d-052af29e8fc7,Enterprise,None,1
16f1fbfe-db44-45e5-909d-68ddc58186bf,Student,None,0
fab84440-2dbe-4856-a10f-a0c6a97ce16d,Professional,None,1
d41a8fd2-fedd-4317-bcd3-ce5a91c17115,Student,10% Cashback,1
dc8ac975-bc13-49b3-9122-d6cd8c75fd7a,Professional,10% Cashback,0
8cf2e869-ecc1-4286-822c-0de7fd237b2f,Professional,None,0
ab81af35-d6e0-41e1-8dde-8b825c2499c4,Student,10% Cashback,0
03d26580-e298-49b4-b1f2-69285f1ec8ef,Student,None,1
cd3ba15f-cb96-46f0-a199-031b8152ccfd,Professional,10% Cashback,0
cfb45912-fa49-4322-81ef-7d276b0ee92d,Student,None,1
8a34e0ae-0eb0-4d71-b1b0-b6efa06aa3b2,Student,10% Cashback,0
6675f80a-e744-4921-b485-50334aaa37f5,Professional,10% Cashback,1
a86a68fd-ec22-4503-ab5a-6aa6a2f1bd09,Student,None,0
9ec25c97-4c3a-4517-8012-620692dfb10f,Student,None,1
2e3bf5a6-f9bb-45f8-a57f-b3e048e53f7d,Student,10% Cashback,1
ca296cb3-d2a3-45a7-a760-7af913a9ae27,Professional,10% Cashback,1
4bf663f5-d1bd-4f4c-912f-ca56dfe8257e,Student,10% Cashback,0
7d0659ba-b397-44af-9337-5219daaf7fe7,Student,10% Cashback,0
7ea7bbbb-fcb3-4fa8-9014-d7295994135d,Professional,None,1
e1a447ec-9c02-4002-b685-e3b9691aefb6,Student,10% Cashback,1
e22e298d-e379-4cca-a407-08d71cdf5684,Student,10% Cashback,0
ec5c3fce-ab11-447a-8951-5e3bb548a823,Professional,None,1
dcf9be97-a515-4c0c-b689-f24fa8f95ce8,Student,None,0
4ff103f5-2320-4fab-9eaa-fbe9a54080f0,Enterprise,None,0
bf66853f-335f-449e-a65b-4287fa94c226,Student,10% Cashback,0
57884c18-dec8-442f-8652-f06b194aa2f9,Professional,10% Cashback,1
09d345f8-743b-4104-9562-401b31447556,Student,10% Cashback,0
68dc0807-420b-40c9-8c6b-6a7d00e96203,Student,None,0
10ba733c-d5bf-462f-8063-3278b3a99232,Student,None,0
4bd7cf88-315a-4d1d-b1ea-60c9e081e9df,Professional,None,0
37587b91-10c2-4a07-bfd5-5ca929aab6d8,Professional,None,1
93f0a169-ada9-4f26-9429-8a5be7f56bae,Student,None,0
073fe4d8-6f7d-4c7b-82d1-25c4d318c07b,Professional,10% Cashback,1
30177099-188e-4980-804c-0c0f755ff68e,Student,None,0
9685d184-a0ef-42ac-aede-280577cd63fc,Professional,None,0
39207e59-dc2a-49d1-9298-7c3a82eeefba,Professional,10% Cashback,1
31f29ace-c683-453d-a697-3c6be2f78781,Professional,10% Cashback,1
f319f385-59e5-43c9-b274-0c454893f711,Student,10% Cashback,1
1bea63b1-fad0-4f6b-849c-24b35a678c09,Student,10% Cashback,1
0c899bc2-4fa2-4928-96f9-08efd40fb632,Professional,10% Cashback,1
823b7d93-d741-49ed-89dc-1117d3b5aa9f,Student,10% Cashback,1
07886287-67b7-4f3b-b370-8c7d9b32a0b6,Professional,None,1
6a20f47b-732c-4032-b99b-4360a8d28099,Student,10% Cashback,0
57e81edf-5dea-48a1-857c-b86725a82af8,Student,None,0
6a111f27-f7b7-4e72-99af-e489a461191a,Professional,None,1
e036e37f-aa28-469b-8398-9eb0283f11b1,Student,None,0
81d79d9d-1986-483f-a001-87e2bf3af470,Enterprise,10% Cashback,1
c69b6808-6608-4eb3-87fa-ccd87d31f2c3,Professional,10% Cashback,0
30bcd49a-01db-44fc-a59b-96f22934cc65,Student,10% Cashback,0
ea568faf-d952-476f-82b6-4314682c4c44,Professional,10% Cashback,1
430da454-46e5-42bb-b84b-e7c86b0ceebe,Professional,None,1
333cc3a8-d912-46c9-8294-79be86bb6825,Professional,None,0
8f7eaf9b-2dac-47f9-84e1-c232d7a47cf1,Student,None,0
7f64d41d-67ac-43e4-acde-52ce0e00a005,Professional,None,0
fc8aa039-1123-4808-80fb-22b4ddd27637,Student,10% Cashback,0
29ba24bd-9dda-4fab-8b3f-e995036f7ce8,Enterprise,None,1
66cfc299-0a76-437c-bcf7-cc9bafac06e0,Professional,None,0
fb904032-1d2b-4f6e-843b-a6e15ab9bc76,Professional,None,0
de526daa-c299-4498-a8b1-426e91aeebe4,Student,None,0
60203924-aa80-45b3-b706-3ff2d0e04554,Student,10% Cashback,0
27d71033-607f-4493-9763-d06b66356d13,Student,10% Cashback,0
eab59f61-c61a-4544-b0fd-6048a52f3704,Professional,10% Cashback,1
402f0b42-baef-4fd6-971c-933560d6c791,Professional,10% Cashback,1
18a669b6-f433-46a2-b85b-1c5e3b78f976,Student,None,0
4f08a3e6-87bf-44af-b1ee-c18ec58d0bdb,Enterprise,10% Cashback,0
22a731d6-fe68-466f-a17a-72a1a5736a2e,Professional,None,1
18311e9a-b2c8-49a1-a43e-50f59920626b,Professional,10% Cashback,0
